Name, X_cor, Y_cor
Station,50.77650509718889,19.15797778449311
M1,50.837191372928764,19.11806430825947
Biedronka,50.77245702582887,19.15102820614557
Szpital,50.828985765576334,19.089191619451878
Jagielończycy,50.7833228146325,19.143075161481736
Galeria,50.807458255112316,19.129640451929347
